"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.51710975795509,0.811,0.179,0,"0","IGLC3"
0,4.11273071366288,0.59,0.058,0,"0","HBB"
0,1.75136337617867,0.589,0.087,0,"0","IGJ"
1.3403960031633e-260,2.34235423694518,0.413,0.056,3.50392919186919e-256,"0","IGHG1"
6.11316700455839e-257,1.45174514439341,0.452,0.071,1.59804298666161e-252,"0","IGLC2"
6.37321371221147e-245,2.18666424036193,0.377,0.048,1.6660217965092e-240,"0","IGHG4"
1.6155090221791e-222,2.37539038693266,0.348,0.045,4.22310213487838e-218,"0","IGHG2"
5.8141005552145e-203,0.915909790356183,0.389,0.065,1.51986402613862e-198,"0","IGHA1"
5.07706519242812e-169,0.921958858694471,0.964,0.54,1.32719561195264e-164,"0","S100A8"
1.28294833120861e-132,0.741107406643813,0.967,0.547,3.35375523261244e-128,"0","S100A9"
3.41554450153068e-89,1.02161868598142,0.32,0.096,8.92857488145136e-85,"0","IGHM"
2.34170217779887e-88,0.715171700893753,0.86,0.478,6.12144366298403e-84,"0","IFI27"
1.65135779648231e-54,0.343975146397447,0.992,0.989,4.31681441578441e-50,"0","B2M"
8.64901732615984e-51,0.459853900712539,0.713,0.404,2.26093961923144e-46,"0","LYZ"
1.42878920745828e-47,1.02191117374728,0.418,0.227,3.73499786721669e-43,"0","S100A12"
5.61923348148313e-39,0.562204871576701,0.872,0.798,1.4689238243945e-34,"0","TMSB10"
1.70854451298074e-35,0.355414540548166,0.819,0.609,4.46630621138296e-31,"0","FTL"
6.57557985280263e-26,0.378206889626792,0.609,0.383,1.71892232932113e-21,"0","FCN1"
2.09033093045736e-19,0.524266447444931,0.552,0.414,5.46433408530857e-15,"0","TYROBP"
9.36015650330225e-19,0.419087232527988,0.766,0.749,2.44683851152824e-14,"0","RPS11"
1.65924736909586e-17,0.372869376715864,0.776,0.758,4.33743854755349e-13,"0","TMSB4X"
5.30908164911505e-17,0.40105973393311,0.417,0.288,1.38784703389516e-12,"0","PLBD1"
6.76582405025501e-17,0.489400441028841,0.697,0.688,1.76865406497716e-12,"0","RPS14"
1.20109519336025e-16,0.525763540297645,0.508,0.437,3.13978294496304e-12,"0","HSP90B1"
9.67050980299775e-14,0.384767283829472,0.679,0.658,2.52796796760164e-09,"0","RPS12"
1.31012017279576e-12,0.430856127325054,0.606,0.583,3.4247851437054e-08,"0","RPS18"
3.814418409927e-12,0.473604006630746,0.552,0.487,9.97127116539016e-08,"0","S100A6"
2.23380371688037e-11,0.401550375065533,0.617,0.595,5.83938629629697e-07,"0","RPS19"
2.38976616894747e-11,0.400372347114488,0.661,0.657,6.24708774224559e-07,"0","RPL31"
1.28731303974338e-10,0.319745203095926,0.724,0.728,3.36516501719318e-06,"0","TPT1"
