"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.11273071366288,0.59,0.058,0,"0","HBB"
1.6155090221791e-222,2.37539038693266,0.348,0.045,4.22310213487838e-218,"0","IGHG2"
1.3403960031633e-260,2.34235423694518,0.413,0.056,3.50392919186919e-256,"0","IGHG1"
6.37321371221147e-245,2.18666424036193,0.377,0.048,1.6660217965092e-240,"0","IGHG4"
0,1.75136337617867,0.589,0.087,0,"0","IGJ"
0,1.51710975795509,0.811,0.179,0,"0","IGLC3"
6.11316700455839e-257,1.45174514439341,0.452,0.071,1.59804298666161e-252,"0","IGLC2"
1.42878920745828e-47,1.02191117374728,0.418,0.227,3.73499786721669e-43,"0","S100A12"
3.41554450153068e-89,1.02161868598142,0.32,0.096,8.92857488145136e-85,"0","IGHM"
5.07706519242812e-169,0.921958858694471,0.964,0.54,1.32719561195264e-164,"0","S100A8"
1.48395562760589e-216,2.8520941765828,0.425,0.075,3.87920840612455e-212,"1","MYOM2"
5.8881343402905e-182,2.66432187682668,0.379,0.07,1.53921719789534e-177,"1","SPON2"
0,2.61115049189102,0.824,0.211,0,"1","PRF1"
0,2.48204887217045,0.747,0.194,0,"1","GZMB"
2.29808562807619e-112,2.46354498304732,0.25,0.047,6.00742564035396e-108,"1","S1PR5"
2.54694638884863e-201,2.42117529561735,0.439,0.085,6.65797255508919e-197,"1","GPR56"
3.09722022470233e-146,2.31946712550375,0.396,0.098,8.09644338939436e-142,"1","TRGC1"
2.01903625522121e-302,2.3172547272388,0.765,0.231,5.27796267477376e-298,"1","GNLY"
6.38660049894534e-192,2.3117835243463,0.514,0.132,1.6695212364293e-187,"1","CD247"
1.49625093709542e-145,2.29533456000196,0.343,0.07,3.91134957466114e-141,"1","KLRD1"
1.02550585225827e-145,0.682892815872432,1,1,2.68077484838834e-141,"2","RNA28S5"
2.94035573933322e-68,0.534846756691114,0.919,0.556,7.68638393819096e-64,"2","S100A8"
6.26686803653356e-25,0.445922620229438,0.618,0.426,1.63822197343024e-20,"2","LYZ"
2.2764810435508e-63,0.444925765618821,0.945,0.559,5.95094909594615e-59,"2","S100A9"
4.85733194196902e-34,0.440136048136179,0.757,0.504,1.26975514295012e-29,"2","IFI27"
2.75000044012109e-69,0.352075683293222,0.999,1,7.18877615052054e-65,"2","RNA18S5"
1.08316200403356e-05,0.310448678406644,0.16,0.251,0.283149379474414,"2","OAS1"
9.45747408811907e-28,0.301570461102762,0.678,0.45,2.47227830137521e-23,"2","VCAN"
1.97483123230838e-07,0.289919417914603,0.497,0.407,0.00516240632437734,"2","FCN1"
0.00926250965896137,0.259915028159904,0.205,0.277,1,"2","LGALS1"
0,2.59732068866494,0.483,0.049,0,"3","CYP1B1"
0,2.46035299314652,0.482,0.045,0,"3","F5"
2.10937798926622e-170,2.32251182448836,0.258,0.024,5.51412500174082e-166,"3","HP"
2.76971194090331e-192,2.30896365233582,0.27,0.022,7.24030398471535e-188,"3","MARC1"
0,2.27114140997547,0.549,0.064,0,"3","CES1"
0,2.24955104099946,0.99,0.413,0,"3","VCAN"
9.09981569498618e-214,2.2344624753636,0.344,0.035,2.37878282082634e-209,"3","PRAM1"
0,2.17975833801588,0.885,0.228,0,"3","PLBD1"
6.67932338306258e-221,2.17169026303662,0.363,0.039,1.74604192556639e-216,"3","ALDH3B1"
0,2.14512606771432,0.66,0.092,0,"3","DYSF"
3.5378140038448e-38,1.85469755473972,0.282,0.12,9.24819958745068e-34,"4","CD8A"
3.97036063287957e-106,1.6332678016152,0.673,0.319,1.03789197304105e-101,"4","CCL5"
2.00526209392857e-80,1.49169315510747,0.661,0.376,5.24195563973868e-76,"4","SYNE1"
2.52734780505802e-108,1.47738856004405,0.764,0.415,6.60673989720218e-104,"4","SYNE2"
2.54759662904583e-17,1.37035697185258,0.293,0.187,6.65967234798871e-13,"4","MLLT6"
1.41113057623981e-16,1.33642580409617,0.348,0.253,3.6888364393485e-12,"4","PIK3R1"
1.13214750729138e-17,1.28013759434451,0.27,0.159,2.95954679881039e-13,"4","CD3G"
5.62041245008375e-34,1.23645695081193,0.425,0.244,1.46923201857639e-29,"4","GZMH"
5.3246508611011e-31,1.23158976786877,0.42,0.25,1.39191698160044e-26,"4","SPOCK2"
2.5311410459752e-15,1.21416950416045,0.267,0.167,6.61665580828378e-11,"4","NKG7"
8.16198977007171e-63,1.74900864936875,0.435,0.161,2.13362574579445e-58,"5","CD93"
3.88411977616622e-51,1.73649106358098,0.388,0.152,1.01534775068761e-46,"5","TNFAIP2"
9.86994610964559e-85,1.68716540035134,0.543,0.191,2.58010261252245e-80,"5","CD300E"
2.5660066116385e-56,1.6806048248179,0.432,0.17,6.7077978834842e-52,"5","MS4A6A"
3.73362525034899e-45,1.67038916966809,0.385,0.16,9.7600697669373e-41,"5","LRP1"
1.91620903027287e-58,1.6656056237263,0.464,0.191,5.0091620260363e-54,"5","SIGLEC1"
1.77211369000909e-25,1.65874230276321,0.261,0.118,4.63248239705277e-21,"5","SIRPA"
1.62511876384e-123,1.63378029558646,0.777,0.297,4.24822296055414e-119,"5","SERPINA1"
8.09402975393746e-114,1.5990358198019,0.754,0.287,2.11586031797679e-109,"5","CD14"
8.77600904499469e-67,1.56447209460949,0.522,0.21,2.29413652445206e-62,"5","LILRB2"
0,3.99118277644366,0.539,0.051,0,"6","TCF7"
2.65463480123858e-268,3.33652188389225,0.691,0.121,6.93948083391776e-264,"6","IL7R"
1.47043033338819e-232,3.23675205034138,0.569,0.087,3.84385193451006e-228,"6","LTB"
8.55449568455428e-83,2.79075957917841,0.291,0.059,2.23623071689933e-78,"6","MYC"
2.41224629939166e-117,2.78988252219747,0.393,0.079,6.30585305123974e-113,"6","DGKA"
9.412477276281e-115,2.62070139953368,0.443,0.103,2.46051568479262e-110,"6","BIRC3"
1.85284378490623e-72,2.42407756678689,0.261,0.052,4.84351893812337e-68,"6","ABLIM1"
8.40607737189944e-90,2.38274194245157,0.379,0.09,2.19743268578823e-85,"6","TRAC"
1.57062962908396e-86,2.27880302938901,0.423,0.118,4.10578291338837e-82,"6","PIK3IP1"
1.89268179192657e-49,2.253459622035,0.275,0.081,4.94765947227525e-45,"6","HIVEP2"
0,6.13916688527124,0.842,0.026,0,"7","MS4A1"
0,6.11605213877214,0.53,0.015,0,"7","BANK1"
0,5.930561798948,0.448,0.012,0,"7","PAX5"
6.43419929116384e-287,5.70133066159803,0.326,0.008,1.68196403670314e-282,"7","CD22"
6.95420909127377e-183,5.49146915301667,0.269,0.011,1.81789979854988e-178,"7","CD19"
0,5.3106751693323,0.459,0.019,0,"7","CD79A"
1.75162359243829e-220,4.84253278058767,0.394,0.023,4.57891923299292e-216,"7","RALGPS2"
1.4235775548588e-133,3.96083035277801,0.341,0.032,3.72137408615639e-129,"7","HLA-DQA1"
1.89470137727426e-66,3.54113997658571,0.28,0.046,4.95293887033264e-62,"7","SIK1"
1.5356926493715e-142,3.53779227017271,0.466,0.06,4.01445415472204e-138,"7","TTN"
2.32524638333967e-206,5.86138064195027,0.488,0.039,6.07842657068823e-202,"8","IGHA2"
0,5.82289230722664,0.285,0.003,0,"8","DERL3"
2.48434184935604e-147,5.48429604401706,0.612,0.101,6.49431802840163e-143,"8","IGHA1"
1.27129395035622e-118,5.03291296178251,0.587,0.118,3.32328951562619e-114,"8","IGLC2"
5.32476211544904e-55,4.91092706865234,0.616,0.273,1.39194606459953e-50,"8","IGLC3"
0,4.81349818816737,0.649,0.033,0,"8","MZB1"
3.31422278148382e-180,4.67086963012984,0.777,0.149,8.66370977307686e-176,"8","IGJ"
9.28430277892381e-258,4.60168642285327,0.281,0.005,2.42700958943847e-253,"8","MYBL2"
1.67786234549223e-200,4.48724023598931,0.426,0.028,4.38609995735123e-196,"8","MKI67"
2.07525739219034e-27,4.35483533054237,0.302,0.096,5.42493034892477e-23,"8","IGHG4"
1.32563037438998e-171,4.19982721281996,0.322,0.012,3.46533036169285e-167,"9","FMNL2"
1.22492577000168e-194,4.11527219387554,0.553,0.036,3.2020784553614e-190,"9","CTSL"
1.28427799500573e-153,3.98275766686247,0.349,0.016,3.35723110674448e-149,"9","MSR1"
9.29738266852467e-144,3.79095055259511,0.421,0.028,2.43042880337903e-139,"9","RP11-290F20.3"
4.12536646605182e-146,3.57503802010157,0.572,0.054,1.07841204789061e-141,"9","APOBEC3B"
9.72146469817914e-104,3.30170060125854,0.428,0.041,2.54128808675101e-99,"9","MS4A7"
1.05153808529525e-129,3.24151349192639,0.684,0.089,2.74882570877032e-125,"9","CDKN1A"
9.26769300453421e-147,3.23055023457354,0.803,0.112,2.42266762831529e-142,"9","MARCKS"
5.41536306640061e-138,3.14144314895656,0.783,0.114,1.41563005918778e-133,"9","CSF1R"
1.01005520455149e-79,3.07816639603508,0.474,0.064,2.64038531021805e-75,"9","HMOX1"
7.77152985479973e-231,7.17144565910195,0.286,0.003,2.0315556193432e-226,"10","TAL1"
2.95900899861975e-179,6.61254134275742,0.267,0.005,7.73514542329189e-175,"10","STON2"
6.03175544485698e-203,6.60235153907593,0.286,0.005,1.57676119084006e-198,"10","PTCRA"
3.14188758399693e-291,6.44909991737104,0.648,0.022,8.21320833332638e-287,"10","TUBB1"
9.43594852652593e-200,6.15663717767323,0.352,0.008,2.46665130431914e-195,"10","TRIM58"
7.5230445776378e-274,6.15518910024267,0.619,0.022,1.9665990830403e-269,"10","ITGB3"
2.51221039002593e-239,6.14097985223611,0.476,0.014,6.56716918056679e-235,"10","GNG11"
5.49512633105932e-180,6.07451229205149,0.276,0.005,1.43648097420222e-175,"10","ARHGAP6"
2.3532302118373e-192,6.05684038290688,0.276,0.005,6.15157909676389e-188,"10","GUCY1B3"
5.64097106151926e-246,5.97930195293002,0.61,0.024,1.47460624519175e-241,"10","SDPR"
0,6.85890595854206,0.605,0.008,0,"11","CXCR1"
5.80518033843347e-260,6.80895669697414,0.382,0.005,1.51753219226989e-255,"11","MME"
6.84610875364231e-167,6.60439146200656,0.368,0.009,1.78964128928964e-162,"11","TNFRSF10C"
2.25970604738349e-263,6.46338076087063,0.816,0.033,5.90709757846518e-259,"11","CXCR2"
3.08385937279962e-133,6.45009787771512,0.276,0.006,8.06151678643549e-129,"11","KCNJ15"
3.67524768869431e-105,6.3484812473591,0.276,0.009,9.60746498301579e-101,"11","PTGS2"
4.56772637605006e-128,5.74390619404733,0.961,0.125,1.19404935196325e-123,"11","FCGR3B"
1.49892129557651e-86,5.68787739219286,0.276,0.011,3.91833015876657e-82,"11","STEAP4"
6.73463921058563e-77,5.47720369482914,0.447,0.036,1.76050203603919e-72,"11","G0S2"
7.43344024251773e-108,5.38847566277735,0.513,0.033,1.94317561379656e-103,"11","FFAR2"
8.4912731681246e-283,8.38164577564993,0.304,0.001,2.21970371887945e-278,"12","SHD"
0,8.15277952528212,0.522,0.001,0,"12","CLEC4C"
7.82967395799801e-202,7.46634290436609,0.478,0.004,2.04675506936026e-197,"12","IL3RA"
2.14038870090913e-244,7.46567178805223,0.826,0.011,5.59519010304657e-240,"12","SERPINF1"
5.10301052431364e-214,7.11336350873869,0.609,0.007,1.33397798116083e-209,"12","LILRA4"
3.79146488196776e-104,7.03636090943289,0.261,0.002,9.91126834795193e-100,"12","COL24A1"
2.12411753839271e-296,6.98931901403815,0.565,0.003,5.55265565711239e-292,"12","PLD4"
2.7278072370634e-252,6.84847359801191,0.696,0.007,7.13076089840744e-248,"12","TSPAN13"
5.13044394921049e-157,6.60492774573727,0.565,0.008,1.34114935276311e-152,"12","MAP1A"
3.4525132306888e-177,6.4008593130797,0.478,0.005,9.02521483634359e-173,"12","PTPRS"
